Latitude,Longitude,Bedrooms,Bath,Floor_area (sqm),brgy_area_sqm,city_pop,Price (PHP),Food_Count,Education_Count,Healthcare_Count,Public_Services_Count,Finance_Count,Transportation_Count
14.583771,121.059675,1,1,57.0,816847.128678576,803159,12196800.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,90.0,816847.128678576,803159,31032000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,93.0,816847.128678576,803159,31312000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,93.0,816847.128678576,803159,31357000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,3,2,98.0,816847.128678576,803159,22111600.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,75.0,816847.128678576,803159,26208000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,90.0,816847.128678576,803159,31337000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,52.0,816847.128678576,803159,12770800.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,59.0,816847.128678576,803159,14587200.0,71.0,4.0,5.0,0.0,63.0,8.0
14.583771,121.059675,1,1,46.0,816847.128678576,803159,10752000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,108.0,816847.128678576,803159,37666000.0,71.0,4.0,5.0,0.0,63.0,8.0
14.588716,121.060009,1,1,93.0,816847.128678576,803159,32342000.0,71.0,4.0,5.0,0.0,63.0,8.0
